기준일자,지역,발전소,발전량(Wh)
2022-01-06,영광,영광지산풍력,10416000
2022-01-06,울산,울산 수소연료전지,0
2022-01-06,울산,울산 연료전지 2단계,97145408
2022-01-06,일산,일산연료전지#4,76032000
2022-01-06,호남,호남연료전지,349904184
2022-01-07,동해,동해연료전지,352236416
2022-01-07,영광,영광지산풍력,2798400
2022-01-07,울산,울산 수소연료전지,5904826
2022-01-07,울산,울산 연료전지 2단계,97134566
2022-01-07,일산,일산연료전지#4,76027200
2022-01-07,호남,호남연료전지,350012502
2022-01-08,동해,동해연료전지,351694448
2022-01-08,영광,영광지산풍력,24000
2022-01-08,울산,울산 수소연료전지,11656344
2022-01-08,울산,울산 연료전지 2단계,96961010
2022-01-08,일산,일산연료전지#4,59448000
2022-01-08,호남,호남연료전지,349888308
2022-01-09,동해,동해연료전지,350436240
2022-01-09,영광,영광지산풍력,1464000
2022-01-09,울산,울산 수소연료전지,54960
2022-01-09,울산,울산 연료전지 2단계,97000784
2022-01-09,일산,일산연료전지#4,59380800
2022-01-09,호남,호남연료전지,349878060
2022-01-10,동해,동해연료전지,349080928
2022-01-10,영광,영광지산풍력,1473600
2022-01-10,울산,울산 수소연료전지,0
2022-01-10,울산,울산 연료전지 2단계,96989936
2022-01-10,일산,일산연료전지#4,59486400
2022-01-10,호남,호남연료전지,349784736
